+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                 ;
+---------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; procesador|myProcessor|datapath|alu_instance6|c_instance                              ; 16    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|divInst                                 ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|multInst                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[7].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6|sum_instance                            ; 17    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance6                                         ; 19    ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[8].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[7].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sub_instance                            ; 19    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|c_instance                              ; 16    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|divInst                                 ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|multInst                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[7].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5|sum_instance                            ; 17    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance5                                         ; 19    ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[8].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[7].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sub_instance                            ; 19    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|c_instance                              ; 16    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|divInst                                 ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|multInst                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[7].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4|sum_instance                            ; 17    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance4                                         ; 19    ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[8].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[7].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sub_instance                            ; 19    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|c_instance                              ; 16    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|divInst                                 ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|multInst                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[7].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3|sum_instance                            ; 17    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance3                                         ; 19    ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[8].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[7].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sub_instance                            ; 19    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|c_instance                              ; 16    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|divInst                                 ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|multInst                                ; 16    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[7].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[5].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[4].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[3].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[2].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[1].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance|geninstance[0].f1_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2|sum_instance                            ; 17    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance2                                         ; 19    ; 1              ; 0            ; 1              ; 9      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance1|sub_instance|geninstance[8].f2_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance1|sub_instance|geninstance[7].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; procesador|myProcessor|datapath|alu_instance1|sub_instance|geninstance[6].f3_instance ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
